site,year,month,micro,TAD,janzenDscore,TAD_elevCorr,janzenDscore_elevCorr,macro,foliage,flora,snow_source_flag,height_notes,snowdepth,latitude,veg_structure,foliage_cover,height,elevation_change,snow_presence
AU,1,3,soil,-1.3919999999999995,-0.36910179985066904,-18.91071994276988,-1.0850253345749068,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,4,soil,-1.0790000000000042,-0.28944242874444215,-18.597719942769885,-1.0053659634686798,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,5,soil,-1.112333333333332,-0.3222250392870596,-18.631053276103213,-1.0381485740112972,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,6,soil,0.20866666666666234,0.042240377668438016,-17.31005327610322,-0.6736831570557997,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,7,soil,-1.1369999999999987,-0.25917615522282433,-18.655719942769878,-0.9750996899470621,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,8,soil,-0.40916666666666757,-0.06739932889838104,-17.92788660943655,-0.7833228636226188,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,9,soil,-1.466666666666665,-0.4581673374012385,-18.985386609436546,-1.1740908721254764,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,10,soil,-1.3080000000000034,-0.40105551510087706,-18.826719942769884,-1.1169790498251149,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,11,soil,-0.75075,-0.15628253861670446,-18.26946994276988,-0.8722060733409422,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AU,1,12,soil,-2.477666666666668,-0.868789572047779,-19.99638660943655,-1.5847131067720168,tropical broadleaf,leaf-on,tropical broadleaf,NA,"soil and surface measured, canopy estimated",0,-15.73,1320.1973900364817,1,-0.07,900,no snow
AZ,2009,1,soil,6.22,0.5095613482968215,-10.087962109483136,-0.15158185490225207,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2009,2,soil,7.26,0.5101348857666399,-9.047962109483136,-0.1510083174324337,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62421795180723,46.7541770061083,0,-0.1,1005,no snow
AZ,2009,3,soil,5.550000000000001,0.37762494839671995,-10.757962109483135,-0.28351825480235365,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2009,4,soil,10.24,0.5337087293052025,-6.067962109483134,-0.12743447389387108,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2009,5,soil,8.54,0.48857850035882544,-7.767962109483135,-0.17256470284024816,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2009,6,soil,11.09,0.6137600259276047,-5.2179621094831345,-0.0473831772714689,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2009,7,soil,8.150000000000002,0.5477071380624895,-8.157962109483133,-0.11343606513658411,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2009,8,soil,8.09,0.5298695967397026,-8.217962109483135,-0.13127360645937103,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2009,9,soil,8.120000000000001,0.5714833382072189,-8.187962109483134,-0.08965986499185474,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2009,10,soil,13.850000000000001,0.7364034098142797,-2.457962109483133,0.07526020661520605,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2009,11,soil,8.39,0.5121941677220407,-7.917962109483134,-0.14894903547703287,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2009,12,soil,4.710000000000001,0.4158634401662293,-11.597962109483134,-0.24527976303284432,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2010,1,soil,4.180000000000001,0.3998723351311162,-12.127962109483136,-0.2612708680679574,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2010,2,soil,4.33,0.3575952675732818,-11.977962109483135,-0.3035479356257918,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62421795180723,46.7541770061083,0,-0.1,1005,no snow
AZ,2010,3,soil,8.020000000000001,0.46796191183385294,-8.287962109483134,-0.19318129136522066,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2010,4,soil,9.93,0.5247418393892351,-6.377962109483135,-0.13640136380983847,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2010,5,soil,9.100000000000001,0.517635851993432,-7.207962109483133,-0.14350735120564162,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2010,6,soil,7.940000000000001,0.5020903684226299,-8.367962109483134,-0.15905283477644372,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2010,7,soil,7.490000000000002,0.5242915642165972,-8.817962109483133,-0.13685163898247643,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2010,8,soil,9.900000000000002,0.6155945087505317,-6.407962109483132,-0.045548694448541927,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2010,9,soil,9.8,0.6101390870965726,-6.507962109483134,-0.051004116102500996,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2010,10,soil,13.479999999999999,0.6691007980195823,-2.8279621094831358,0.007957594820508729,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2010,11,soil,10.790000000000001,0.5980007142853269,-5.5179621094831335,-0.06314248891374674,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.62436823529412,46.49952462590073,0,-0.1,1005,no snow
AZ,2010,12,soil,8.48,0.6181709459418143,-7.827962109483134,-0.04297225725725928,hot desert,leaf-off,sparse shrub,measured_daily,informed estimate,0,33.6245116091954,46.25658040110502,0,-0.1,1005,no snow
AZ,2011,1,soil,8.03,0.5855597553529804,-8.277962109483136,-0.07558344784609317,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,2,soil,5.4799999999999995,0.44914924699554487,-10.827962109483135,-0.21199395620352873,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,3,soil,7.23,0.39457314053684905,-9.077962109483135,-0.26657006266222455,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,4,soil,8.889999999999999,0.4847443538949539,-7.417962109483136,-0.1763988493041197,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,5,soil,7.400000000000002,0.4365665467943348,-8.907962109483133,-0.22457665640473878,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,6,soil,12.560000000000002,0.6386805439005907,-3.747962109483132,-0.0224626592984829,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,7,soil,6.580000000000002,0.4362819709739368,-9.727962109483133,-0.22486123222513682,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,8,soil,9.129999999999999,0.5863578294140301,-7.177962109483135,-0.07478537378504346,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,9,soil,11.610000000000003,0.6264013230260369,-4.697962109483131,-0.0347418801730367,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,10,soil,9.59,0.582169290866891,-6.7179621094831345,-0.07897391233218265,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,11,soil,8.82,0.5490976268220717,-7.487962109483134,-0.11204557637700185,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.630605,35.93145084728693,0,-0.1,1005,no snow
AZ,2011,12,soil,5.419999999999999,0.4774989768162874,-10.887962109483137,-0.1836442263827862,hot desert,leaf-off,sparse shrub,confident_estimate,informed estimate,0,33.63095262295082,35.34241066946256,0,-0.1,1005,no snow
AZ_cata,2014,12,soil,9.69,1.0916482297184642,-13.271364679068416,0.137307554495132,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,3.69672131147541,32.43275,637.827173117148,1,-0.1,428,snow
AZ_cata,2015,1,soil,7.765,1.2227815779942146,-15.196364679068413,0.2684409027708824,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.5,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,2,soil,7.380000000000001,1.100983735021221,-15.581364679068415,0.14664305979788883,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,1.1310344827586207,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,3,soil,11.299999999999999,0.9449485152973274,-11.661364679068416,-0.00939215992600484,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.4838709677419355,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,4,soil,9.469999999999999,0.8504739728088359,-13.491364679068415,-0.10386670241449636,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.5,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,5,soil,14.490000000000002,0.839968243766883,-8.471364679068412,-0.11437243145644926,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.22580645161290322,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,6,soil,11.135000000000002,0.7832358542117984,-11.826364679068412,-0.1711048210115338,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,7,soil,8.59,0.8865403929647678,-14.371364679068414,-0.06780028225856438,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,8,soil,8.3,0.9664533295967634,-14.661364679068413,0.01211265437343123,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,9,soil,8.515,1.0155921739886913,-14.446364679068413,0.06125149876535907,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,10,soil,6.210000000000001,0.7542720300335444,-16.75136467906841,-0.20006864518978784,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,11,soil,11.48,1.6251431261155804,-11.481364679068413,0.6708024508922482,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.9066666666666666,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2015,12,soil,11.92,1.5628033258934224,-11.041364679068415,0.6084626506700902,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,3.6451612903225805,32.432465,648.4576260024338,1,-0.1,428,snow
AZ_cata,2016,1,soil,6.99,1.455870916302311,-15.971364679068415,0.5015302410789787,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.5,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,2,soil,10.545,1.3190631050118569,-12.416364679068415,0.36472242978852465,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,1.1310344827586207,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,3,soil,11.71,1.1036762677770569,-11.251364679068413,0.14933559255372464,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.4838709677419355,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,4,soil,13.18,0.9799094003464522,-9.781364679068414,0.02556872512312003,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.5,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,5,soil,14.98,0.9736874334276555,-7.981364679068413,0.0193467582043233,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.22580645161290322,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,6,soil,15.01,0.9865461110187482,-7.951364679068414,0.032205435795416015,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,7,soil,14.020000000000001,1.0796600513764396,-8.941364679068414,0.1253193761531074,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,8,soil,10.854999999999999,1.126095510989568,-12.106364679068417,0.17175483576623585,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,9,soil,13.704999999999998,1.1569830315257743,-9.256364679068415,0.2026423563024421,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,10,soil,10.395,1.263583494114184,-12.566364679068414,0.3092428188908517,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,11,soil,16.925,1.3076146897042782,-6.036364679068413,0.353274014480946,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.9066666666666666,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2016,12,soil,12.280000000000001,1.6142112470163106,-10.681364679068412,0.6598705717929784,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,3.6451612903225805,32.432465,648.4576260024338,1,-0.1,428,snow
AZ_cata,2017,1,soil,8.375,1.5820906969339676,-14.586364679068414,0.6277500217106354,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.5,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,2,soil,5.1,1.295234179192075,-17.861364679068412,0.34089350396874274,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,1.1310344827586207,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,3,soil,13.44,1.1298207315455406,-9.521364679068416,0.17548005632220842,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.4838709677419355,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,4,soil,17.095000000000002,1.1445605879087135,-5.866364679068411,0.1902199126853813,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.5,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,5,soil,17.975,1.0540537009253752,-4.986364679068412,0.09971302570204299,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.22580645161290322,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,6,soil,15.794999999999998,1.0623256590551238,-7.1663646790684155,0.10798498383179156,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,7,soil,14.940000000000001,1.1092197451821209,-8.021364679068412,0.15487906995878864,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.43399,591.5753781074835,1,-0.1,428,no snow
AZ_cata,2017,8,soil,10.245,1.1897357949278726,-12.716364679068416,0.2353951197045404,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,9,soil,13.934999999999999,1.1539230126494653,-9.026364679068415,0.19958233742613307,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,10,soil,12.645,1.2175325283594236,-10.316364679068414,0.2631918531360914,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,11,soil,14.905,1.7129355274627645,-8.056364679068414,0.7585948522394322,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,0.9066666666666666,32.432465,648.4576260024338,1,-0.1,428,no snow
AZ_cata,2017,12,soil,16.62,1.2464343691681399,-6.341364679068413,0.29209369394480766,Ponderosa pine,leaf-on,"Ponerosa pine, Douglas fir",single_avg,from metadata,3.6451612903225805,32.432465,648.4576260024338,1,-0.1,428,snow
CO,2009,9,soil,-3.4908199999999985,-0.4469743829340662,-10.608553603487522,-0.6716310717541096,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,0,40.019174121212124,324.0831116453991,0,-0.12,1802,no snow
CO,2009,10,soil,0.4862000000000002,0.05319477590770584,-6.631533603487521,-0.17146191291233764,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,5.759139784946236,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2009,11,soil,-1.966428,-0.2594433092850146,-9.084161603487523,-0.48409999810505805,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,20.244944444444446,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2009,12,soil,-5.2687,-0.9404421579540106,-12.386433603487522,-1.1650988467740542,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,37.39972043010753,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,1,soil,-5.26736,-1.3344766442599074,-12.385093603487523,-1.5591333330799508,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,53.042722222222224,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,2,soil,-6.81396,-1.5587140396197299,-13.93169360348752,-1.7833707284397733,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,70.13466666666666,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,3,soil,-1.99646,-0.2332392854453994,-9.1141936034875215,-0.4578959742654429,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,84.45563440860215,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,4,soil,-2.673936,-0.28926946711490736,-9.791669603487524,-0.5139261559349508,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,86.45494444444445,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,5,soil,-1.2820599999999995,-0.11581468965514796,-8.39979360348752,-0.34047137847519143,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,84.06344086021505,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,6,soil,-1.7737999999999996,-0.12710528505844038,-8.89153360348752,-0.35176197387848385,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",single_avg,from metadata,4.064444444444445,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,7,soil,-1.5698000000000008,-0.12454172909584527,-8.687533603487523,-0.34919841791588874,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",single_avg,from metadata,0,40.042457666666664,206.08140471745244,0,-0.12,1802,no snow
CO,2010,8,soil,-4.9161,-0.5059202186876927,-12.033833603487523,-0.7305769075077362,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",single_avg,from metadata,0,40.042457666666664,206.08140471745244,0,-0.12,1802,no snow
CO,2010,9,soil,-5.484980000000002,-0.5283147330628452,-12.602713603487526,-0.7529714218828887,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",single_avg,from metadata,0,40.042457666666664,206.08140471745244,0,-0.12,1802,no snow
CO,2010,10,soil,5.33192,0.3555108787440296,-1.7858136034875218,0.13085418992398612,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,2.50752688172043,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,11,soil,1.3211020000000002,0.1010274929316186,-5.796631603487522,-0.12362919588842487,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,26.68161111111111,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2010,12,soil,-2.7678800000000003,-0.37660030319007143,-9.885613603487524,-0.601256992010115,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,47.611548387096775,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2011,1,soil,-5.659899999999999,-0.8372509523511555,-12.77763360348752,-1.061907641171199,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,74.1793888888889,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2011,2,soil,-5.469880000000001,-0.816616703833392,-12.587613603487522,-1.0412733926534354,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,94.41972413793103,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2011,3,soil,-4.49184,-0.5411392799190563,-11.609573603487522,-0.7657959687390998,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,92.98681720430108,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2011,4,soil,-5.305182,-0.7293131771615667,-12.422915603487521,-0.9539698659816103,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,110.6105,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
CO,2011,5,soil,-5.681328000000001,-0.5719815697476655,-12.799061603487523,-0.796638258567709,alpine meadow,leaf-off,"Scattered Pinus ponderosa, Pseudotsuga menziesii at low, largely barren at high",measured_daily,from metadata,117.11182795698925,40.042457666666664,206.08140471745244,0,-0.12,1802,snow
