"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LW8QJEDK","journalArticle","2018","Ward, Sarah E","Microclimate and Phenology at the H.J. Andrews Experimental Forest","University of Oregon Scholar's Bank","","","","http://hdl.handle.net/1794/23916","","2018","2019-07-27 11:25:00","2020-08-01 17:28:21","","83","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/David/Zotero/storage/JD7S524Z/Ward - MICROCLIMATE AND PHENOLOGY AT THE H.J. ANDREWS EXP.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJJ2UTTU","journalArticle","2018","Rebetez, Martine; von Arx, Georg; Gessler, Arthur; Pannatier, Elisabeth Graf; Innes, John L.; Jakob, Peter; Jetel, Markéta; Kube, Marlen; Nötzli, Magdalena; Schaub, Marcus; Schmitt, Maria; Sutter, Flurin; Thimonier, Anne; Waldner, Peter; Haeni, Matthias","Meteorological data series from Swiss long-term forest ecosystem research plots since 1997","Annals of Forest Science","","1297-966X","10.1007/s13595-018-0709-7","https://doi.org/10.1007/s13595-018-0709-7","","2018-03-19","2019-08-07 08:16:22","2019-08-07 08:16:22","2019-08-07 08:16:22","41","","2","75","","Annals of Forest Science","","","","","","","","en","","","","","Springer Link","","","","/Users/David/Zotero/storage/R5CBPN4F/Rebetez et al. - 2018 - Meteorological data series from Swiss long-term fo.pdf","","","Temperature; Wind speed; Below canopy climate; Climate data; Forest climate; LWF; Meteorological data; Precipitation; Relative humidity; Switzerland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQ89R3YP","journalArticle","2017","Senior, Rebecca A.; Hill, Jane K.; Pliego, Pamela González del; Goode, Laurel K.; Edwards, David P.","A pantropical analysis of the impacts of forest degradation and conversion on local temperature","Ecology and Evolution","","2045-7758","10.1002/ece3.3262","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.3262","Temperature is a core component of a species' fundamental niche. At the fine scale over which most organisms experience climate (mm to ha), temperature depends upon the amount of radiation reaching the Earth's surface, which is principally governed by vegetation. Tropical regions have undergone widespread and extreme changes to vegetation, particularly through the degradation and conversion of rainforests. As most terrestrial biodiversity is in the tropics, and many of these species possess narrow thermal limits, it is important to identify local thermal impacts of rainforest degradation and conversion. We collected pantropical, site-level (<1 ha) temperature data from the literature to quantify impacts of land-use change on local temperatures, and to examine whether this relationship differed aboveground relative to belowground and between wet and dry seasons. We found that local temperature in our sample sites was higher than primary forest in all human-impacted land-use types (N = 113,894 daytime temperature measurements from 25 studies). Warming was pronounced following conversion of forest to agricultural land (minimum +1.6°C, maximum +13.6°C), but minimal and nonsignificant when compared to forest degradation (e.g., by selective logging; minimum +1°C, maximum +1.1°C). The effect was buffered belowground (minimum buffering 0°C, maximum buffering 11.4°C), whereas seasonality had minimal impact (maximum buffering 1.9°C). We conclude that forest-dependent species that persist following conversion of rainforest have experienced substantial local warming. Deforestation pushes these species closer to their thermal limits, making it more likely that compounding effects of future perturbations, such as severe droughts and global warming, will exceed species' tolerances. By contrast, degraded forests and belowground habitats may provide important refugia for thermally restricted species in landscapes dominated by agricultural land.","2017","2019-09-16 00:07:51","2020-12-26 01:50:10","2019-09-16 00:07:51","7897-7908","","19","7","","","","","","","","","","en","© 2017 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.","","","","Wiley Online Library","","","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Senior et al_2017_A pantropical analysis of the impacts of forest degradation and conversion on.pdf; /Users/David/Zotero/storage/K7PRST4G/ece3.html","","forest; tropics; microclimate; landscape; synthesis","climate change; temperature; land-use change; scale; thermal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72UGPW8J","journalArticle","2017","Euskirchen, ES; Bret-Harte, Syndonia; Shaver, Gaius; Edgar, Colin; Romanovsky, V. E.","Long-term release of carbon dioxide from arctic tundra ecosystems in Alaska","","","","","","","2017","2019-12-21 09:41:34","2019-12-21 09:41:34","","960-974","","5","20","","Ecosystems","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/D9WWRRCY/data_access.html; /Users/David/Zotero/storage/3745XQF4/16479.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HDSC7DH7","document","2019","Alaska Climate Research Center","ACIS Daily Data Browser","","","","","http://climate.gi.alaska.edu/acis_data","","2019","2019-12-21 09:41:34","2020-08-01 17:37:04","2019-10-03 15:29:51","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/9SP29UN8/acis_data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZEZPFF4","webpage","2018","Goulden, Mike","Measurement of Energy, Carbon and Water Exchange Along California Climate Gradients","","","","","https://www.ess.uci.edu/~california/","","2018","2019-12-21 09:41:34","2020-08-01 17:23:38","2019-02-03 15:44:50","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/L8DIPXQ6/~california.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QGGI8U6S","journalArticle","2016","Oechel, Walt","AmeriFlux US-HVa Happy Valley","United States","","","","10.17190/AMF/1246064","","2016","2019-12-21 13:56:52","2020-08-01 18:22:06","2019-12-21 13:56:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9PRJ36GB","document","2009","Hinkel, Kenneth M.","Soil Temperatures for Happy Valley and Barrow, Alaska, USA","","","","","https://doi.org/10.5065/D6PZ56X8","","2009","2019-12-22 12:08:54","2020-08-01 17:35:10","2019-12-22 12:08:54","","","","","","","","","","","","UCAR/NCAR - Earth Observing Laboratory","","","","","","","","","","","/Users/David/Zotero/storage/3GNRYQK9/D6PZ56X8.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNZ7942S","journalArticle","1994","Walker, Marilyn D.; Walker, Donald A.; Auerbach, Nancy A.","Plant communities of a tussock tundra landscape in the Brooks Range Foothills, Alaska","Journal of Vegetation Science","","1654-1103","10.2307/3236198","https://onlinelibrary.wiley.com/doi/abs/10.2307/3236198","Abstract. We present the first vegetation analysis from the Arctic Foothills of northern Alaska according to the Braun-Blanquet approach. The data are from the Imnavait Creek and Toolik Lake regions. We focus on associations of dry and mesic upland surfaces and moderate snow accumulation sites; other upland plant communities, i.e. those of blockfields, non-sorted circles, and water tracks, are briefly described. Summary floristic information is presented in a synoptic table. Five associations and 15 community types are tentatively placed into seven existing syntaxonomical classes. The community descriptions are arranged according to habitat: dry exposed acidic sites, moist acidic shallow snowbeds, moist non-acidic snowbeds, moist acidic uplands, and moist non-acidic uplands. Many of the communities are Beringian vicariants of associations previously described from Greenland and the European Arctic. The described communities have a widespread distribution in northern Alaska. The relationship of the associations to complex environmental gradients are analyzed using Detrended Correspondence Analysis. Community composition is controlled primarily by mesotopographic relationships (slope position and soil moisture), microscale disturbances, and factors related to long-term landscape evolution.","1994","2019-12-22 12:14:36","2019-12-22 12:14:36","2019-12-22 12:14:36","843-866","","6","5","","","","","","","","","","en","","","","","Wiley Online Library","","","","/Users/David/Zotero/storage/BBUSWY26/3236198.html; /Users/David/Desktop/Dropbox/Zotero_manual_add/Walker et al_1994_Plant communities of a tussock tundra landscape in the Brooks Range Foothills,.pdf","","","Sphagnum; Classification; DCA; Eriophorum vaginatum; Gradient analysis; Syntaxonomy; Vicariant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBUHID6B","document","2016","Shaver, Gaius","Daily weather data file for Arctic Tundra LTER site at Toolik Lake, Arctic LTER 1999.","","","","","https://portal.lternet.edu/nis/mapbrowse?packageid=knb-lter-arc.1538.1","","2016","2019-12-22 12:14:47","2019-12-22 12:14:47","2019-12-22 12:14:46","","","","","","","","","","","","Environmental Data Initiative","","","","","","","DOI.org (Datacite)","","type: dataset DOI: 10.6073/PASTA/C97E2BB0B819ABF0577FDA102A6EB09F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFZCEUAQ","webpage","2019","Swedish Meteorological and Hydrological Institute","Historical Snow Depth Records","Swedish Meteorological and Hydrological Institute","","","","https://www.smhi.se/en/weather/sweden-weather/snow-depth/","","2019","2019-12-22 12:18:32","2020-08-01 17:23:05","2019-12-22 12:18:32","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/EIPP48CG/snow-depth.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7H2TP6R","journalArticle","2017","Fick, Stephen E.; Hijmans, Robert J.","WorldClim 2: new 1-km spatial resolution climate surfaces for global land areas","International Journal of Climatology","","1097-0088","10.1002/joc.5086","https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.5086","We created a new dataset of spatially interpolated monthly climate data for global land areas at a very high spatial resolution (approximately 1 km2). We included monthly temperature (minimum, maximum and average), precipitation, solar radiation, vapour pressure and wind speed, aggregated across a target temporal range of 1970–2000, using data from between 9000 and 60 000 weather stations. Weather station data were interpolated using thin-plate splines with covariates including elevation, distance to the coast and three satellite-derived covariates: maximum and minimum land surface temperature as well as cloud cover, obtained with the MODIS satellite platform. Interpolation was done for 23 regions of varying size depending on station density. Satellite data improved prediction accuracy for temperature variables 5–15% (0.07–0.17 °C), particularly for areas with a low station density, although prediction error remained high in such regions for all climate variables. Contributions of satellite covariates were mostly negligible for the other variables, although their importance varied by region. In contrast to the common approach to use a single model formulation for the entire world, we constructed the final product by selecting the best performing model for each region and variable. Global cross-validation correlations were ≥ 0.99 for temperature and humidity, 0.86 for precipitation and 0.76 for wind speed. The fact that most of our climate surface estimates were only marginally improved by use of satellite covariates highlights the importance having a dense, high-quality network of climate station data.","2017","2019-12-22 12:22:22","2019-12-22 12:22:22","2019-12-22 12:22:22","4302-4315","","12","37","","","WorldClim 2","","","","","","","en","© 2017 Royal Meteorological Society","","","","Wiley Online Library","","","","/Users/David/Desktop/Dropbox/Zotero_manual_add/Fick_Hijmans_2017_WorldClim 2.pdf; /Users/David/Zotero/storage/NM6I47MQ/joc.html","","","MODIS; interpolation; land surface temperature; wind speed; climate surfaces; cloud cover; solar radiation; vapour pressure; WorldClim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2PIR7QL","webpage","2019","Schaap, Marcel; Condon, Katherine; Durcki, Matej; Losleben, Mark","CZO Dataset: Jemez 2011 Burned ZOB - Soil Moisture, Soil Temperature, Electrical Conductivity, Water Potential (2011-2019).","","","","","http://criticalzone.org/catalina-jemez/data/dataset/3790/#citation","","2019","2019-12-22 12:25:47","2019-12-22 12:27:23","2019-03-22 12:25:47","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/K5BU66YW/3790.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3EQPSU5","webpage","","Chorover, Jon; Barron-Gafford, Greg; Minor, Rebecca; Abramson, Nate","CZO Dataset: Bigelow Site - Soil Moisture, Soil Temperature, Electrical Conductivity, Water Potential (2014-2019).","","","","","http://criticalzone.org/catalina-jemez/data/dataset/5140/","","","2019-12-22 12:27:47","2020-08-01 18:12:47","2019-03-22 12:27:47","","","","","","","","","","","","","","","","","","","","","","","/Users/David/Zotero/storage/TWQL3YRN/5140.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"396VS2M8","document","2007","Goulden, Mike","AmeriFlux US-SCd Southern California Climate Gradient - Sonoran Desert","","","","","10.17190/AMF/1419505","","2007","2019-12-22 12:32:37","2019-12-22 12:33:13","","","","","","","","","","","","","AmeriFlux; University of California - Irvine","","en","","","","","DOI.org (CSL JSON)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
